province,province_key,month_num,mean_occupancy,seasonality_score
Al-Baha,al baha,1,0.2641008965743318,0.039241831193918025
Al-Baha,al baha,2,0.2614509695269024,0.031459781105089034
Al-Baha,al baha,3,0.2564793323725746,0.016859556772123457
Al-Baha,al baha,4,0.25073835216965173,0.0
Al-Baha,al baha,5,0.3498983624074274,0.29120355114218593
Al-Baha,al baha,6,0.39070660701034116,0.41104526672644204
Al-Baha,al baha,7,0.5912562127824119,1.0
Al-Baha,al baha,8,0.5471497611717172,0.8704724282851849
Al-Baha,al baha,9,0.29987439421775425,0.14429798765821697
Al-Baha,al baha,10,0.26245532231887453,0.034409267484936515
Al-Baha,al baha,11,0.2887983761217105,0.11177100632422024
Al-Baha,al baha,12,0.2591635397290192,0.02474227796511572
Al-Jouf,al jouf,1,0.4269249448453307,0.7416132249339948
Al-Jouf,al jouf,2,0.4489298619536935,1.0
Al-Jouf,al jouf,3,0.43248285772164996,0.8068755105012593
Al-Jouf,al jouf,4,0.3637671553765415,0.0
Al-Jouf,al jouf,5,0.40829403729056146,0.522844842580026
Al-Jouf,al jouf,6,0.3962087299116435,0.3809363962113162
Al-Jouf,al jouf,7,0.39713173352754383,0.3917745160057373
Al-Jouf,al jouf,8,0.43298872386826703,0.8128155066210254
Al-Jouf,al jouf,9,0.44706965807691046,0.978157060155224
Al-Jouf,al jouf,10,0.4453989710974877,0.9585394711121937
Al-Jouf,al jouf,11,0.4392670890644567,0.886537508287352
Al-Jouf,al jouf,12,0.4101703368521368,0.5448767816409986
Al-Madinah Al-Monawarah,al madinah al monawarah,1,0.557534916155512,0.7211222863899316
Al-Madinah Al-Monawarah,al madinah al monawarah,2,0.549878442069914,0.6688125816396984
Al-Madinah Al-Monawarah,al madinah al monawarah,3,0.5263978980434689,0.5083914384781772
Al-Madinah Al-Monawarah,al madinah al monawarah,4,0.48924196327079067,0.2545388222545151
Al-Madinah Al-Monawarah,al madinah al monawarah,5,0.48075715954844755,0.19656989653003354
Al-Madinah Al-Monawarah,al madinah al monawarah,6,0.46212032838167655,0.06924142589006618
Al-Madinah Al-Monawarah,al madinah al monawarah,7,0.5227756252229129,0.48364375179502134
Al-Madinah Al-Monawarah,al madinah al monawarah,8,0.48206033912413565,0.20547333407565338
Al-Madinah Al-Monawarah,al madinah al monawarah,9,0.45198558979906617,0.0
Al-Madinah Al-Monawarah,al madinah al monawarah,10,0.5116891215464626,0.4078997830250686
Al-Madinah Al-Monawarah,al madinah al monawarah,11,0.5925766441771637,0.9605304560327352
Al-Madinah Al-Monawarah,al madinah al monawarah,12,0.5983537278368528,1.0
Al-Qaseem,al qaseem,1,0.4746967232855935,0.9225119300687454
Al-Qaseem,al qaseem,2,0.4496959630954157,0.7100194515550114
Al-Qaseem,al qaseem,3,0.4011169890895756,0.2971253430706318
Al-Qaseem,al qaseem,4,0.3661587660950942,0.0
Al-Qaseem,al qaseem,5,0.42653047493395935,0.5131257588047262
Al-Qaseem,al qaseem,6,0.4011668890007112,0.29754946440590946
Al-Qaseem,al qaseem,7,0.44983043783302623,0.7111624116120249
Al-Qaseem,al qaseem,8,0.4813704814883534,0.979235142111832
Al-Qaseem,al qaseem,9,0.4549703284333724,0.7548486069376411
Al-Qaseem,al qaseem,10,0.440111183050413,0.628554182008057
Al-Qaseem,al qaseem,11,0.4838135667028338,1.0
Al-Qaseem,al qaseem,12,0.44882798842037364,0.7026421522815556
Al-Riyadh,al riyadh,1,0.7025649830210257,0.8133421518394306
Al-Riyadh,al riyadh,2,0.6850883094927576,0.7514284864805807
Al-Riyadh,al riyadh,3,0.6186312223823964,0.5159945610588139
Al-Riyadh,al riyadh,4,0.4729789106718949,0.0
Al-Riyadh,al riyadh,5,0.6034524721088202,0.4622216240360052
Al-Riyadh,al riyadh,6,0.6040491948329755,0.46433560133240603
Al-Riyadh,al riyadh,7,0.6034503324689093,0.4622140440495039
Al-Riyadh,al riyadh,8,0.6425147156787306,0.6006053200317836
Al-Riyadh,al riyadh,9,0.6611819854039284,0.666736846094788
Al-Riyadh,al riyadh,10,0.7146134219608671,0.8560255043327584
Al-Riyadh,al riyadh,11,0.7552538079336508,1.0
Al-Riyadh,al riyadh,12,0.7254378605870265,0.8943726571655584
Aseer,aseer,1,0.31430700998077415,0.13306375199782586
Aseer,aseer,2,0.3120786931566999,0.1242085542409006
Aseer,aseer,3,0.28735942673019943,0.0259756682132495
Aseer,aseer,4,0.28082292465706526,0.0
Aseer,aseer,5,0.37928571156288815,0.39128522494160095
Aseer,aseer,6,0.38344175616350673,0.40780109756234834
Aseer,aseer,7,0.5324623442659155,1.0
Aseer,aseer,8,0.5144906060887479,0.9285813875858439
Aseer,aseer,9,0.34708660110262374,0.26332788618158115
Aseer,aseer,10,0.32223697763256015,0.16457696906100452
Aseer,aseer,11,0.3325254417498689,0.20546270998864302
Aseer,aseer,12,0.3064776547049602,0.10195036249794559
Eastern Region,eastern region,1,0.5323874019634869,0.6538899889390234
Eastern Region,eastern region,2,0.5360294890576796,0.6747703686286878
Eastern Region,eastern region,3,0.5187595452662079,0.5757603849959314
Eastern Region,eastern region,4,0.418331799281346,0.0
Eastern Region,eastern region,5,0.5317843263756524,0.6504325078492302
Eastern Region,eastern region,6,0.501179594559906,0.4749731066635509
Eastern Region,eastern region,7,0.5013694034351984,0.4760612962872678
Eastern Region,eastern region,8,0.5009579900817298,0.47370263027856074
Eastern Region,eastern region,9,0.513988619704246,0.548408283130017
Eastern Region,eastern region,10,0.5501845808089324,0.7559226537509941
Eastern Region,eastern region,11,0.5927580859831857,1.0
Eastern Region,eastern region,12,0.5314016987746432,0.6482388728860362
Grand Total,grand total,1,0.5426814616543449,0.6919412390795865
Grand Total,grand total,2,0.5342414859051102,0.6139486780065706
Grand Total,grand total,3,0.5207715780371373,0.4894752620567632
Grand Total,grand total,4,0.46780294507043885,0.0
Grand Total,grand total,5,0.48467264894753587,0.15589042540050937
Grand Total,grand total,6,0.5177962584287915,0.46198077591600767
Grand Total,grand total,7,0.5279425466188955,0.5557411165666143
Grand Total,grand total,8,0.5274898202119443,0.5515575391497353
Grand Total,grand total,9,0.4915501938426747,0.21944479524750324
Grand Total,grand total,10,0.5280172302202287,0.5564312566228417
Grand Total,grand total,11,0.5760180829389503,1.0
Grand Total,grand total,12,0.570241303737342,0.9466176422689827
Hail,hail,1,0.49418722726422437,0.8064341685962496
Hail,hail,2,0.49469259723953035,0.8092359047706461
Hail,hail,3,0.4292057939753977,0.4461815987849698
Hail,hail,4,0.34872470313589043,0.0
Hail,hail,5,0.40730688403058324,0.3247755573297144
Hail,hail,6,0.39516861435429357,0.2574818301429123
Hail,hail,7,0.4635299425904498,0.6364723036728684
Hail,hail,8,0.43970339833453975,0.5043795909781227
Hail,hail,9,0.4226812275015788,0.41000985371664533
Hail,hail,10,0.42943942270074753,0.44747682027254326
Hail,hail,11,0.5291021347885433,1.0
Hail,hail,12,0.47751951823623134,0.7140295430547932
Jazan,jazan,1,0.4998154375486732,1.0
Jazan,jazan,2,0.44447960731547176,0.6699685870438639
Jazan,jazan,3,0.3885950068437628,0.33666422387735484
Jazan,jazan,4,0.33214706399128696,0.0
Jazan,jazan,5,0.3813207485335844,0.29327942711549726
Jazan,jazan,6,0.3719252924212381,0.23724348000749615
Jazan,jazan,7,0.4378946351547067,0.6306947990237799
Jazan,jazan,8,0.4496222401433819,0.7006400411696477
Jazan,jazan,9,0.41055525966589523,0.46763855347933136
Jazan,jazan,10,0.41235774102650413,0.478388829887255
Jazan,jazan,11,0.47630927106520327,0.8598056032587166
Jazan,jazan,12,0.4453738398818702,0.6753019277772752
Makkah Al-Mokarramah,makkah al mokarramah,1,0.47324382788508723,0.5784248275751666
Makkah Al-Mokarramah,makkah al mokarramah,2,0.4596127604101665,0.42327493665705856
Makkah Al-Mokarramah,makkah al mokarramah,3,0.47309698446411275,0.5767534441132219
Makkah Al-Mokarramah,makkah al mokarramah,4,0.4665582670187571,0.502329243641926
Makkah Al-Mokarramah,makkah al mokarramah,5,0.4427838597092081,0.2317270543779005
Makkah Al-Mokarramah,makkah al mokarramah,6,0.5007718939429848,0.8917514583711252
Makkah Al-Mokarramah,makkah al mokarramah,7,0.5102823303749626,1.0
Makkah Al-Mokarramah,makkah al mokarramah,8,0.5008883083904153,0.8930764968432304
Makkah Al-Mokarramah,makkah al mokarramah,9,0.4224249210383648,0.0
