City,month,transaction_value_thousand_sar,weekly_obs,group_key,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3,rolling_std_3,rolling_6,rolling_std_6,rolling_12,rolling_std_12,month_num,month_sin,month_cos,year,trend_months
Abha,2020-05-01,360485.0,4,abha,,,,,,,,,,,,5,0.49999999999999994,-0.8660254037844387,2020,5
Abha,2020-06-01,560156.0,4,abha,360485.0,,,,,360485.0,,360485.0,,360485.0,,6,1.2246467991473532e-16,-1.0,2020,6
Abha,2020-07-01,582462.0,4,abha,560156.0,360485.0,,,,460320.5,141188.71810629914,460320.5,141188.71810629914,460320.5,141188.71810629914,7,-0.4999999999999997,-0.8660254037844388,2020,7
Abha,2020-08-01,679440.0,5,abha,582462.0,560156.0,360485.0,,,501034.3333333333,122229.19346184583,501034.3333333333,122229.19346184583,501034.3333333333,122229.19346184583,8,-0.8660254037844384,-0.5000000000000004,2020,8
Abha,2020-09-01,475172.0,4,abha,679440.0,582462.0,560156.0,,,607352.6666666666,63417.87704845802,545635.75,133854.88148582156,545635.75,133854.88148582156,9,-1.0,-1.8369701987210297e-16,2020,9
Abha,2020-10-01,438134.0,4,abha,475172.0,679440.0,582462.0,,,579024.6666666666,102177.37225694023,531543.0,120128.57689159563,531543.0,120128.57689159563,10,-0.8660254037844386,0.5000000000000001,2020,10
Abha,2020-11-01,557885.0,5,abha,438134.0,475172.0,679440.0,360485.0,,530915.3333333334,129952.43675027159,515974.8333333333,114012.74871244298,515974.8333333333,114012.74871244298,11,-0.5000000000000004,0.8660254037844384,2020,11
Abha,2020-12-01,430675.0,4,abha,557885.0,438134.0,475172.0,560156.0,,490397.0,61310.08048437068,548874.8333333334,84946.39267777455,521962.0,105277.46930690663,12,-2.4492935982947064e-16,1.0,2020,12
Abha,2021-01-01,503862.0,5,abha,430675.0,557885.0,438134.0,582462.0,,475564.6666666667,71388.98465683167,527294.6666666666,97086.72665543247,510551.125,102672.65951617791,1,0.49999999999999994,0.8660254037844387,2021,13
Abha,2021-02-01,411226.0,4,abha,503862.0,430675.0,557885.0,679440.0,,497474.0,63845.13241430398,514194.6666666667,93386.46332668701,509807.8888888889,96067.3578009779,2,0.8660254037844386,0.5000000000000001,2021,14
Abha,2021-03-01,506205.0,4,abha,411226.0,503862.0,430675.0,475172.0,,448587.6666666667,48846.74855436494,469492.3333333333,54611.15665746918,499949.7,95787.98800481776,3,1.0,6.123233995736766e-17,2021,15
Abha,2021-04-01,495408.0,4,abha,506205.0,411226.0,503862.0,438134.0,,473764.3333333333,54172.453925711605,474664.5,56686.763163016956,500518.36363636365,90892.0345412872,4,0.8660254037844387,-0.4999999999999998,2021,16
Abha,2021-05-01,725671.0,5,abha,495408.0,506205.0,411226.0,557885.0,360485.0,470946.3333333333,52000.312136883826,484210.1666666667,54066.70405865931,500092.5,86674.71002075414,5,0.49999999999999994,-0.8660254037844387,2021,17
Abha,2021-06-01,703344.0,4,abha,725671.0,495408.0,506205.0,430675.0,560156.0,575761.3333333334,129937.77326987455,512174.5,112070.84524844089,530524.6666666666,96728.0928069018,6,1.2246467991473532e-16,-1.0,2021,18
Abha,2021-07-01,727460.0,4,abha,703344.0,725671.0,495408.0,503862.0,582462.0,641474.3333333334,126988.79490857972,557619.3333333334,126737.19560044976,542457.0,108794.84547950371,7,-0.4999999999999997,-0.8660254037844388,2021,19
Abha,2021-08-01,862666.0,5,abha,727460.0,703344.0,725671.0,411226.0,679440.0,718825.0,13436.746295140976,594885.6666666666,139953.49749779984,554540.1666666666,121008.33082353037,8,-0.8660254037844384,-0.5000000000000004,2021,20
Abha,2021-09-01,553465.0,4,abha,862666.0,727460.0,703344.0,506205.0,475172.0,764490.0,85873.68977748648,670125.6666666666,142789.3521725856,569809.0,146974.670347092,9,-1.0,-1.8369701987210297e-16,2021,21
Abha,2021-10-01,664155.0,5,abha,553465.0,862666.0,727460.0,495408.0,438134.0,714530.3333333334,155005.47348507834,678002.3333333334,132899.56387387688,576333.4166666666,144101.3656401495,10,-0.8660254037844386,0.5000000000000001,2021,22
Abha,2021-11-01,510644.0,4,abha,664155.0,553465.0,862666.0,725671.0,557885.0,693428.6666666666,156665.32887123854,706126.8333333334,100415.73926714217,595168.5,139079.3320816315,11,-0.5000000000000004,0.8660254037844384,2021,23
Abha,2021-12-01,515128.0,4,abha,510644.0,664155.0,553465.0,703344.0,430675.0,576088.0,79216.51896542782,670289.0,126918.92321635889,591231.75,140887.4542631458,12,-2.4492935982947064e-16,1.0,2021,24
Abha,2022-01-01,632814.0,5,abha,515128.0,510644.0,664155.0,727460.0,503862.0,563309.0,87363.97055422781,638919.6666666666,139728.4207348908,598269.5,134083.07267206334,1,0.49999999999999994,0.8660254037844387,2022,25
Abha,2022-02-01,524745.0,4,abha,632814.0,515128.0,510644.0,862666.0,411226.0,552862.0,69276.75145386066,623145.3333333334,132909.79556927568,609015.5,130960.02248465682,2,0.8660254037844386,0.5000000000000001,2022,26
Abha,2022-03-01,621547.0,4,abha,524745.0,632814.0,515128.0,553465.0,506205.0,557562.3333333334,65347.0096816474,566825.1666666666,65735.49663740775,618475.4166666666,118920.42907336159,3,1.0,6.123233995736766e-17,2022,27
Abha,2022-04-01,580202.0,4,abha,621547.0,524745.0,632814.0,664155.0,495408.0,593035.3333333334,59408.86753956279,578172.1666666666,68773.88476279819,628087.25,113561.7145177218,4,0.8660254037844387,-0.4999999999999998,2022,28
Abha,2022-05-01,723274.0,5,abha,580202.0,621547.0,524745.0,510644.0,725671.0,575498.0,48572.13720848595,564180.0,54928.36126082753,635153.4166666666,107004.22179305767,5,0.49999999999999994,-0.8660254037844387,2022,29
