City,latest_month,latest_value,city_demand_score,history_months,city_key
Abha,2025-06-01,904753.0,0.0,62,abha
Buraidah,2025-06-01,1579193.0,0.03249993265723283,62,buraidah
Dammam,2025-06-01,3140130.0,0.10771840632751195,62,dammam
Hail,2025-06-01,1064800.0,0.007712349092568862,62,hail
Jeddah,2025-06-01,9036173.0,0.3918370832211556,62,jeddah
Khobar,2025-06-01,1810985.0,0.04366953171791327,62,khobar
Madinah,2025-06-01,2526166.0,0.07813269276668326,62,madinah
Makkah,2025-06-01,2462345.0,0.07505728472131636,62,makkah
Riyadh,2025-06-01,21656796.0,1.0,62,riyadh
Tabuk,2025-06-01,1230982.0,0.015720331728302606,62,tabuk
