Starting date;Indicator;Sectors;City;value (Multiple units)
2025-07-06;Number of Transactions (In Thousand);Clothing and Footwear;Total;6723.0
2025-07-06;Number of Transactions (In Thousand);Education;Total;101.0
2025-07-06;Number of Transactions (In Thousand);Electronic & Electric Devices;Total;1412.0
2025-07-06;Number of Transactions (In Thousand);Hotels;Total;839.0
2025-07-06;Number of Transactions (In Thousand);Beverage and Food;Total;50562.0
2025-07-06;Number of Transactions Change %;Education;Total;-9.821428571428571
2025-07-06;Number of Transactions Change %;Electronic & Electric Devices;Total;-12.40694789081886
2025-07-06;Number of Transactions Change %;Miscellaneous Goods and Services;Total;-9.335362760020294
2025-07-06;Number of Transactions Change %;Recreation and Culture;Total;-4.087779690189329
2025-07-06;Number of Transactions Change %;Transportation;Total;-5.683947532792005
2025-07-06;Number of Transactions Change %;Total;Total;-3.0010239144771096
2025-07-06;Number of Transactions (In Thousand);Total;DAMMAM;8704.0
2025-07-06;Number of Transactions Change %;Total;DAMMAM;-3.844454264250994
2025-07-06;Number of Transactions Change %;Total;JEDDAH;-3.7043755895798567
2025-07-06;Number of Transactions Change %;Total;RIYADH;-3.267786426328008
2025-07-06;Value of Transactions (In Thousand SAR);Total;HAIL;211601.0
2025-07-06;Value of Transactions (In Thousand SAR);Total;MAKKAH;530718.0
2025-07-06;Value of Transactions Change %;Total;RIYADH;-8.112136832798505
2025-07-06;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;330834.0
2025-07-06;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;167707.0
2025-07-06;Value of Transactions (In Thousand SAR);Beverage and Food;Total;1848795.0
2025-07-06;Value of Transactions Change %;Education;Total;-27.568149770058742
2025-07-06;Value of Transactions Change %;Beverage and Food;Total;-13.042118338859149
2025-07-06;Number of Transactions (In Thousand);Total;TABOUK;4573.0
2025-07-06;Value of Transactions (In Thousand SAR);Gas Stations;Total;948992.0
2025-07-06;Value of Transactions (In Thousand SAR);Hotels;Total;281566.0
2025-07-06;Value of Transactions (In Thousand SAR);Recreation and Culture;Total;259885.0
2025-07-06;Value of Transactions (In Thousand SAR);Telecommunication;Total;117630.0
2025-07-06;Value of Transactions Change %;Other;Total;-7.808685333477844
2025-07-06;Number of Transactions (In Thousand);Total;BURAIDAH;5061.0
2025-07-06;Number of Transactions (In Thousand);Total;MADINA;9079.0
2025-07-06;Number of Transactions (In Thousand);Total;JEDDAH;26541.0
2025-07-06;Number of Transactions Change %;Total;TABOUK;-7.63482124823268
2025-07-06;Number of Transactions Change %;Total;OTHER;-2.6484397618418236
2025-07-06;Value of Transactions (In Thousand SAR);Total;JEDDAH;1893920.0
